BCA_str,formula,split,max_NH3_ppm,max_rate,HN_ratio_max,T_max,flow_max,MO_ratio,oxide_Hf_mean,oxide_Hf_std,MO_BondEnergy_mean,MO_BondEnergy_std,MN_BondEnergy_mean,MN_BondEnergy_std,MH_BondEnergy_mean,MH_BondEnergy_std,ON_BondEnergyDelta_mean,ON_BondEnergyDelta_std,OH_BondEnergyDelta_mean,OH_BondEnergyDelta_std,NH_BondEnergyDelta_mean,NH_BondEnergyDelta_std,MO_BondIonicity_mean,MO_BondIonicity_std,M_X_mean,M_X_std,M_CationX_mean,M_CationX_std,M_radius_mean,M_radius_std,M_WorkFunction_mean,M_WorkFunction_std,M_sigma_elec_mean,M_sigma_elec_std,M_ValenceElec_s_mean,M_ValenceElec_p_mean,M_ValenceElec_d_mean,M_ValenceElec_f_mean,M_ValenceElec_s_frac,M_ValenceElec_p_frac,M_ValenceElec_d_frac,M_ValenceElec_f_frac,M_ValenceElec_tot_mean,M_HOMO_energy,M_LUMO_energy,M_AO_gap,M_cohesive_energy_mean,M_BandCenter,BCA_BandCenter,M_ValenceEnergy_mean,BCA_ValenceEnergy_mean,M_boil_temp_mean,M_boil_temp_std,M_melt_temp_mean,M_melt_temp_std,M_bulk_mod_mean,M_bulk_mod_std,M_shear_mod_mean,M_shear_mod_std,M_row_mean,M_row_std,M_column_mean,M_column_std,M_number_mean,M_number_std,M_mendeleev_mean,M_mendeleev_std,M_space_group_mean,M_space_group_std,M_density_mean,M_density_std,M_molar_vol_mean,M_molar_vol_std,M_H_fus_mean,M_H_fus_std,M_H_vap_mean,M_H_vap_std,M_polarizability_mean,M_polarizability_std,M_sigma_therm_mean,M_sigma_therm_std,BCA_boil_temp_mean,BCA_boil_temp_std,BCA_melt_temp_mean,BCA_melt_temp_std,BCA_bulk_mod_mean,BCA_bulk_mod_std,BCA_shear_mod_mean,BCA_shear_mod_std,BCA_row_mean,BCA_row_std,BCA_column_mean,BCA_column_std,BCA_number_mean,BCA_number_std,BCA_mendeleev_mean,BCA_mendeleev_std,BCA_space_group_mean,BCA_space_group_std,BCA_density_mean,BCA_density_std,BCA_molar_vol_mean,BCA_molar_vol_std,BCA_H_fus_mean,BCA_H_fus_std,BCA_H_vap_mean,BCA_H_vap_std,BCA_polarizability_mean,BCA_polarizability_std,BCA_sigma_therm_mean,BCA_sigma_therm_std
B2C1A1,Ba2 Ca1 Al2 O6,train_val,5293.0,190.399,3.0144329896907216,524.3,21417.0,0.8333333333333334,-1016.5126666666667,539.1554044589866,-1219.5333333333333,264.73819543088234,-819.3173333333334,246.3910482604612,-874.7184000000001,98.45866874704336,400.21600000000007,25.91024054521905,344.81493333333344,167.26480305822463,-55.40106666666664,148.06808181439897,0.7029737608165033,0.11145105902459773,1.2,0.3371646482061843,5.03146337170593,4.4619334057612,0.9540000000000001,0.36520405255144694,3.25,0.7619711280619496,222400.0,159720.50588449812,2.0,0.4,0.0,0.0,0.8333333333333334,0.16666666666666669,0.0,0.0,2.4,-0.102545,-0.102545,0.0,2.4839999999,-1.1547456982958872,-2.094455459662624,-0.17594266666666666,-0.43101666666666666,2325.4,507.7675403174173,996.3880000000001,82.9386992754287,37.64,39.29643749756458,13.84,12.463095522381266,4.4,1.695582495781317,6.4,6.73609679265374,31.6,25.107269863527577,34.2,39.61060464067672,226.6,2.4494897427831783,2794.0,899.743018867054,24.503999999999998,15.777566352261047,8.84,2.0156109495634325,204.2,90.88935581243824,23.746666666659998,18.433525466146452,141.2,126.75123273562274,1106.1454545454546,1446.2861872832486,482.7945454545455,594.2683869152406,,,,,3.090909090909091,1.898753053426047,11.636363636363637,7.575931417463154,18.727272727272727,22.623346115764665,63.0,42.745267512753294,109.54545454545455,134.8393781309334,1270.7794545454547,1858.3003825695914,20.60727272727273,11.637899973340279,4.138181818181819,5.586801410467353,94.67818181818183,140.50105464110635,11.231393939390909,19.10996948565199,64.19631636363637,123.72597243797387
B2C1A1,Ba2 Ca1 Al2 O6,train_val,4818.7,194.445,3.0139940353292034,575.1,17497.0,0.8333333333333334,-1016.5126666666667,539.1554044589866,-1219.5333333333333,264.73819543088234,-819.3173333333334,246.3910482604612,-874.7184000000001,98.45866874704336,400.21600000000007,25.91024054521905,344.81493333333344,167.26480305822463,-55.40106666666664,148.06808181439897,0.7029737608165033,0.11145105902459773,1.2,0.3371646482061843,5.03146337170593,4.4619334057612,0.9540000000000001,0.36520405255144694,3.25,0.7619711280619496,222400.0,159720.50588449812,2.0,0.4,0.0,0.0,0.8333333333333334,0.16666666666666669,0.0,0.0,2.4,-0.102545,-0.102545,0.0,2.4839999999,-1.1547456982958872,-2.094455459662624,-0.17594266666666666,-0.43101666666666666,2325.4,507.7675403174173,996.3880000000001,82.9386992754287,37.64,39.29643749756458,13.84,12.463095522381266,4.4,1.695582495781317,6.4,6.73609679265374,31.6,25.107269863527577,34.2,39.61060464067672,226.6,2.4494897427831783,2794.0,899.743018867054,24.503999999999998,15.777566352261047,8.84,2.0156109495634325,204.2,90.88935581243824,23.746666666659998,18.433525466146452,141.2,126.75123273562274,1106.1454545454546,1446.2861872832486,482.7945454545455,594.2683869152406,,,,,3.090909090909091,1.898753053426047,11.636363636363637,7.575931417463154,18.727272727272727,22.623346115764665,63.0,42.745267512753294,109.54545454545455,134.8393781309334,1270.7794545454547,1858.3003825695914,20.60727272727273,11.637899973340279,4.138181818181819,5.586801410467353,94.67818181818183,140.50105464110635,11.231393939390909,19.10996948565199,64.19631636363637,123.72597243797387
B2C1A1,Ba2 Ca1 Al2 O6,train_val,5282.3,144.531,3.0239999999999996,568.6,15593.0,0.8333333333333334,-1016.5126666666667,539.1554044589866,-1219.5333333333333,264.73819543088234,-819.3173333333334,246.3910482604612,-874.7184000000001,98.45866874704336,400.21600000000007,25.91024054521905,344.81493333333344,167.26480305822463,-55.40106666666664,148.06808181439897,0.7029737608165033,0.11145105902459773,1.2,0.3371646482061843,5.03146337170593,4.4619334057612,0.9540000000000001,0.36520405255144694,3.25,0.7619711280619496,222400.0,159720.50588449812,2.0,0.4,0.0,0.0,0.8333333333333334,0.16666666666666669,0.0,0.0,2.4,-0.102545,-0.102545,0.0,2.4839999999,-1.1547456982958872,-2.094455459662624,-0.17594266666666666,-0.43101666666666666,2325.4,507.7675403174173,996.3880000000001,82.9386992754287,37.64,39.29643749756458,13.84,12.463095522381266,4.4,1.695582495781317,6.4,6.73609679265374,31.6,25.107269863527577,34.2,39.61060464067672,226.6,2.4494897427831783,2794.0,899.743018867054,24.503999999999998,15.777566352261047,8.84,2.0156109495634325,204.2,90.88935581243824,23.746666666659998,18.433525466146452,141.2,126.75123273562274,1106.1454545454546,1446.2861872832486,482.7945454545455,594.2683869152406,,,,,3.090909090909091,1.898753053426047,11.636363636363637,7.575931417463154,18.727272727272727,22.623346115764665,63.0,42.745267512753294,109.54545454545455,134.8393781309334,1270.7794545454547,1858.3003825695914,20.60727272727273,11.637899973340279,4.138181818181819,5.586801410467353,94.67818181818183,140.50105464110635,11.231393939390909,19.10996948565199,64.19631636363637,123.72597243797387
B2C1A1,Ba2 Ca1 Al2 O6,train_val,5727.9,141.227,3.0161790017211705,579.4,23334.0,0.8333333333333334,-1016.5126666666667,539.1554044589866,-1219.5333333333333,264.73819543088234,-819.3173333333334,246.3910482604612,-874.7184000000001,98.45866874704336,400.21600000000007,25.91024054521905,344.81493333333344,167.26480305822463,-55.40106666666664,148.06808181439897,0.7029737608165033,0.11145105902459773,1.2,0.3371646482061843,5.03146337170593,4.4619334057612,0.9540000000000001,0.36520405255144694,3.25,0.7619711280619496,222400.0,159720.50588449812,2.0,0.4,0.0,0.0,0.8333333333333334,0.16666666666666669,0.0,0.0,2.4,-0.102545,-0.102545,0.0,2.4839999999,-1.1547456982958872,-2.094455459662624,-0.17594266666666666,-0.43101666666666666,2325.4,507.7675403174173,996.3880000000001,82.9386992754287,37.64,39.29643749756458,13.84,12.463095522381266,4.4,1.695582495781317,6.4,6.73609679265374,31.6,25.107269863527577,34.2,39.61060464067672,226.6,2.4494897427831783,2794.0,899.743018867054,24.503999999999998,15.777566352261047,8.84,2.0156109495634325,204.2,90.88935581243824,23.746666666659998,18.433525466146452,141.2,126.75123273562274,1106.1454545454546,1446.2861872832486,482.7945454545455,594.2683869152406,,,,,3.090909090909091,1.898753053426047,11.636363636363637,7.575931417463154,18.727272727272727,22.623346115764665,63.0,42.745267512753294,109.54545454545455,134.8393781309334,1270.7794545454547,1858.3003825695914,20.60727272727273,11.637899973340279,4.138181818181819,5.586801410467353,94.67818181818183,140.50105464110635,11.231393939390909,19.10996948565199,64.19631636363637,123.72597243797387
B2C1A1,Ba2 Ca1 Al2 O6,train_val,5094.6,153.014,3.0171310629514965,565.0,19463.0,0.8333333333333334,-1016.5126666666667,539.1554044589866,-1219.5333333333333,264.73819543088234,-819.3173333333334,246.3910482604612,-874.7184000000001,98.45866874704336,400.21600000000007,25.91024054521905,344.81493333333344,167.26480305822463,-55.40106666666664,148.06808181439897,0.7029737608165033,0.11145105902459773,1.2,0.3371646482061843,5.03146337170593,4.4619334057612,0.9540000000000001,0.36520405255144694,3.25,0.7619711280619496,222400.0,159720.50588449812,2.0,0.4,0.0,0.0,0.8333333333333334,0.16666666666666669,0.0,0.0,2.4,-0.102545,-0.102545,0.0,2.4839999999,-1.1547456982958872,-2.094455459662624,-0.17594266666666666,-0.43101666666666666,2325.4,507.7675403174173,996.3880000000001,82.9386992754287,37.64,39.29643749756458,13.84,12.463095522381266,4.4,1.695582495781317,6.4,6.73609679265374,31.6,25.107269863527577,34.2,39.61060464067672,226.6,2.4494897427831783,2794.0,899.743018867054,24.503999999999998,15.777566352261047,8.84,2.0156109495634325,204.2,90.88935581243824,23.746666666659998,18.433525466146452,141.2,126.75123273562274,1106.1454545454546,1446.2861872832486,482.7945454545455,594.2683869152406,,,,,3.090909090909091,1.898753053426047,11.636363636363637,7.575931417463154,18.727272727272727,22.623346115764665,63.0,42.745267512753294,109.54545454545455,134.8393781309334,1270.7794545454547,1858.3003825695914,20.60727272727273,11.637899973340279,4.138181818181819,5.586801410467353,94.67818181818183,140.50105464110635,11.231393939390909,19.10996948565199,64.19631636363637,123.72597243797387
B1C0A1,Ba1 Al2 O4,train_val,4107.1,131.969,3.0181317420243285,572.9,17507.0,0.75,-1299.831111111111,531.5541662955646,-1353.1222222222225,266.41112222824637,-949.7922222222223,241.77787899431095,-928.1326666666668,94.99319638912168,403.3300000000001,24.633243233935413,424.9895555555557,171.4179258391247,21.659555555555585,146.7846826051893,0.6457969961200751,0.11130876142729577,1.37,0.33941125496954283,7.353307722847788,4.423599235156453,0.8066666666666666,0.38419468444469085,3.6199999999999997,0.7778174593052023,261333.33333333334,163577.368714488,2.0,0.6666666666666666,0.0,0.0,0.75,0.25,0.0,0.0,2.6666666666666665,-0.102545,-0.102545,0.0,2.893333333233333,-1.3213379837027857,-2.2828003618287553,-0.1988195,-0.436735875,2575.6666666666665,458.91230099006935,955.6466666666666,47.04381415234099,53.86666666666667,46.95189027078675,18.966666666666665,14.919953083036152,4.0,2.1213203435596424,9.333333333333334,7.7781745930520225,27.333333333333332,30.40559159102154,51.666666666666664,45.254833995939045,226.33333333333334,2.8284271247461903,2970.0,572.7564927611035,19.386666666666667,19.912126958213175,9.513333333333334,2.538513344459706,242.0,108.18733752154178,17.76666666666667,23.263813101037417,162.66666666666666,153.4421715174808,1155.3428571428572,1648.6152687287943,440.8771428571428,590.3676939295665,,,,,2.857142857142857,1.7928429140015905,13.142857142857142,6.262131084086768,16.285714285714285,21.641560545791123,71.85714285714286,34.89576314847242,103.85714285714286,140.3236055897734,1273.6737142857144,1971.3190415891227,18.228571428571428,11.572578426114527,4.202857142857143,6.257957791027814,105.66285714285713,168.2201212272607,8.072571428571429,17.428266908346664,69.72947428571429,138.50866916627547
B3C0A1,Ba3 Al2 O6,train_val,902.3,13.368,3.0404354587869364,604.0,7794.0,0.8333333333333334,-999.1386666666667,552.4072937993004,-1202.4173333333333,276.86255964045904,-813.022,251.26294233863194,-874.3964,98.7198255115963,389.3953333333334,25.59961730182705,328.0209333333334,178.1427341288627,-61.374399999999945,152.54311682703567,0.7087627401286484,0.11567545807178348,1.1780000000000002,0.3527265229607777,4.850942109703185,4.59713917656828,1.0240000000000002,0.39926682807365804,3.18,0.8083316151184486,168800.0,169994.58814915255,2.0,0.4,0.0,0.0,0.8333333333333334,0.16666666666666669,0.0,0.0,2.4,-0.102545,-0.102545,0.0,2.4959999998999995,-1.128143523181502,-2.072383952525664,-0.172202,-0.43008150000000006,2402.6,458.91230099006935,973.3880000000001,47.04381415234099,36.160000000000004,46.951890270786755,13.34,14.919953083036152,4.8,2.121320343559643,6.4,7.7781745930520225,38.8,30.405591591021544,34.6,45.254833995939045,227.4,2.8284271247461903,3186.0,572.7564927611035,26.895999999999997,19.912126958213175,8.556000000000001,2.538513344459706,201.2,108.18733752154178,26.540000000000003,23.263813101037417,104.8,153.4421715174808,1141.2363636363636,1518.3577600486653,472.3400000000001,593.6298860050202,,,,,3.272727272727273,2.217355782608345,11.636363636363637,7.783529619223745,22.0,27.097047809678457,63.18181818181818,43.53159771935783,109.9090909090909,139.0506502441946,1448.9612727272727,2084.6838743201374,21.69454545454545,13.537739840904019,4.009090909090909,5.596116957319603,93.31454545454545,143.4991929419814,12.501090909090912,21.78211273040336,47.65086181818182,114.92140346503562
B3C1A1,Ba3 Ca1 Al2 O7,train_val,3506.4,74.656,3.020371325425477,591.9,15591.0,0.8571428571428571,-938.443888888889,522.2203833469397,-1179.0044444444445,258.10504503562026,-784.0755555555555,238.32828561411978,-861.2306666666667,94.80516491849079,394.92888888888893,26.44273417088522,317.77377777777787,164.22763395356964,-77.15511111111107,143.65348223630807,0.7196800267040041,0.10838178843455666,1.1483333333333334,0.3287560730322036,4.3757850914193215,4.329004288987381,1.0200000000000002,0.3645888094826829,3.1283333333333334,0.746891707158556,190333.33333333334,162481.4519328967,2.0,0.3333333333333333,0.0,0.0,0.8571428571428571,0.14285714285714285,0.0,0.0,2.3333333333333335,-0.102545,-0.102545,0.0,2.3866666665666667,-1.1056991150400124,-2.0373057961969065,-0.1678032857142857,-0.4289818214285715,2295.0,482.2600203963908,996.9900000000001,77.50035988186235,32.96666666666667,39.06872732180374,12.35,12.3985519682377,4.666666666666667,1.758098145983065,5.666666666666667,6.633249580710799,35.666666666666664,26.181186861075364,30.0,38.90547986641938,227.0,2.5584085962673253,2913.3333333333335,907.2034952634286,26.779999999999998,16.113120571306304,8.553333333333333,2.0537725819042913,193.5,90.25645280381494,26.40555555555,18.82527985492311,120.66666666666667,132.1768787372711,1107.746153846154,1425.087188395258,489.65692307692314,595.3485138484091,,,,,3.230769230769231,2.051230647638466,11.23076923076923,7.879996168948403,20.76923076923077,24.729098282929616,60.69230769230769,44.36214602563767,111.23076923076923,135.3458881309745,1345.3848461538462,1931.2631043353954,21.707692307692305,12.325289234617623,4.0661538461538465,5.423328192101717,91.14384615384614,134.09164143888157,12.619025641023077,20.47211904490036,55.70662,116.71771359933788
B4C1A1,Ba4 Ca1 Al2 O8,train_val,3249.7,57.973,3.0086117809162936,602.1,11637.0,0.875,-882.6804761904762,502.40652533874186,-1150.055238095238,249.25823117616466,-758.9028571428571,229.1026437611419,-851.5965714285713,90.8895554236132,391.152380952381,26.170631453602226,298.4586666666668,159.2362944305357,-92.69371428571424,138.3364230901561,0.7316130737665046,0.10451272793155308,1.1114285714285717,0.31750944064383224,3.907443462643173,4.1688318304961305,1.0671428571428572,0.35674978369056554,3.0414285714285714,0.7235118435486056,167428.57142857142,160550.71040716357,2.0,0.2857142857142857,0.0,0.0,0.875,0.125,0.0,0.0,2.2857142857142856,-0.102545,-0.102545,0.0,2.317142857042857,-1.071946501556047,-1.9963895501845363,-0.16169875,-0.4274556875,2273.285714285714,467.05926512901675,997.4200000000001,74.21402663917381,29.62857142857143,38.93800934085577,11.285714285714286,12.361518630699985,4.857142857142857,1.7928429140015905,5.142857142857143,6.573757351339165,38.57142857142857,26.775521870330955,27.0,38.49675310984031,227.28571428571428,2.618614682831909,2998.5714285714284,911.4392072823225,28.405714285714282,16.30176502275575,8.348571428571429,2.075264182838279,185.85714285714286,89.89279329131054,28.304761904757147,19.045521908363334,106.0,135.17951028169912,1108.9199999999998,1414.2172336667377,494.68933333333337,598.1416537397905,,,,,3.3333333333333335,2.1547290184283368,10.933333333333334,8.103790999984426,22.266666666666666,26.09789263523015,59.0,45.55373592959042,112.46666666666667,136.16943227359906,1400.0954666666667,1987.25151006232,22.514666666666663,12.755192108090167,4.013333333333333,5.317443666166774,88.55199999999999,129.5297156640128,13.636622222220002,21.40133863963111,49.48084266666667,111.01191962396904
B5C1A1,Ba5 Ca1 Al2 O9,train_val,2622.5,32.997,3.0298763736263736,599.2,11735.0,0.8888888888888888,-840.8579166666666,482.80913673100423,-1128.3433333333332,240.1318497027554,-740.0233333333333,220.05016164723042,-844.3709999999999,87.14218009523294,388.32000000000005,25.60167728609032,283.97233333333344,153.8039328336026,-104.34766666666661,133.02461220348994,0.7405628590633802,0.1005894483047509,1.08375,0.30589775661158425,3.5561872410610613,4.008794146559411,1.1025,0.3465725032370572,2.97625,0.6984077873993101,150250.0,156908.21361547647,2.0,0.25,0.0,0.0,0.8888888888888888,0.1111111111111111,0.0,0.0,2.25,-0.102545,-0.102545,0.0,2.2649999999,-1.0473099345172479,-1.9656559974300127,-0.15695077777777777,-0.42626869444444443,2257.0,456.954110194371,997.7425000000001,72.00769787280505,27.125,38.853192767587245,10.4875,12.337496647594753,5.0,1.8149704259460602,4.75,6.53497378364605,40.75,27.153160362047338,24.75,38.22995437827131,227.5,2.6568446566202857,3062.5,914.1695041691892,29.624999999999996,16.422674425748003,8.195,2.08905269834693,180.125,89.65669818486383,29.7291666666625,19.186684346421426,95.0,137.08734871048674,1109.8176470588237,1408.559535782104,498.5376470588236,601.4623765447648,,,,,3.411764705882353,2.2310374469935823,10.705882352941176,8.278169476861443,23.41176470588235,27.076047709194228,57.705882352941174,46.48305236646332,113.41176470588235,137.06817790157723,1441.933,2032.0894184670608,23.131764705882354,13.050702163726367,3.9729411764705884,5.24380544124379,86.57000000000001,126.0728932007194,14.41478431372353,22.088374566865944,44.71995411764706,106.19111551285123
B5C1A2,Ba5 Ca1 Al4 O12,train_val,5479.4,110.714,3.0180645161290323,586.4,15570.0,0.8333333333333334,-1007.8256666666666,545.8906925099567,-1210.9753333333333,271.0033835385333,-816.1696666666667,248.85882590983638,-874.5574,98.58946506214554,394.80566666666675,26.317526333858503,336.41793333333345,172.99330519273474,-58.38773333333329,150.35192000612722,0.7058682504725758,0.11361977446412998,1.189,0.34520863256877,4.941202740704557,4.530939874308871,0.9890000000000001,0.384212180962551,3.215,0.7862728534039567,195600.0,167100.6882092351,2.0,0.4,0.0,0.0,0.8333333333333334,0.16666666666666669,0.0,0.0,2.4,-0.102545,-0.102545,0.0,2.4899999999,-1.141367110291078,-2.0833904780152435,-0.1740723333333333,-0.43054908333333336,2364.0,481.62619644642285,984.8880000000001,70.27806613240253,36.9,42.013339425177485,13.59,13.338620359821638,4.6,1.8754309849499513,6.4,7.075942729929446,35.2,27.435190088140704,34.4,41.390486996326864,227.0,2.6261286571944513,2990.0,805.3699085855967,25.7,17.431976167475913,8.698,2.2232300205192295,202.7,96.97857922029074,25.14333333333,20.36622598616478,123.0,138.48316217828273,1123.6909090909091,1476.9744209932874,477.5672727272728,591.9988316490376,,,,,3.1818181818181817,2.056255801077066,11.636363636363637,7.651819102048205,20.363636363636363,24.90411140957796,63.09090909090909,42.98477957565661,109.72727272727273,136.44429991709353,1359.8703636363637,1968.3321685259564,21.150909090909092,12.574738712644297,4.073636363636364,5.573147870028936,93.99636363636364,141.49298239529088,11.866242424240909,20.400881046463844,55.9235890909091,119.58759451693786
B5C3A2,Ba5 Ca3 Al4 O14,train_val,3589.9,73.499,3.0175348117586385,581.7,15580.0,0.8571428571428571,-945.6830555555556,517.3384392439511,-1186.1361111111112,253.549396326375,-786.6986111111113,236.54100054496206,-861.3648333333334,94.710724105768,399.4375,26.161923229826492,324.77127777777787,160.05350968578495,-74.66622222222219,141.99658168586006,0.7172679519906104,0.10680657094908158,1.1575,0.3229067202769246,4.451002283920464,4.278940198965753,0.9908333333333333,0.350760087365836,3.1575,0.7291904758017619,212666.66666666666,157242.55855913254,2.0,0.3333333333333333,0.0,0.0,0.8571428571428571,0.14285714285714285,0.0,0.0,2.3333333333333335,-0.102545,-0.102545,0.0,2.3816666665666664,-1.1164890329654742,-2.04645763736831,-0.16940642857142857,-0.4293826071428572,2262.8333333333335,500.14529803741647,1006.5733333333334,85.19923513791133,33.583333333333336,37.29876502433325,12.558333333333332,11.827424855961006,4.5,1.6373304687294459,5.666666666666667,6.41805962590736,32.666666666666664,24.62657274381441,29.833333333333332,37.791702342676324,226.66666666666666,2.4407881531404234,2750.0,959.9202094500554,25.78333333333333,15.001636790129892,8.671666666666667,1.9144323085003,194.75,86.30000862897813,25.241666666658332,17.526839600537404,135.83333333333334,124.34252623212717,1092.9,1401.02590856312,494.08000000000004,597.7962907429641,,,,,3.1538461538461537,1.9265585656752675,11.23076923076923,7.824826322465195,19.384615384615383,22.912167986911783,60.61538461538461,44.19586427036642,111.07692307692308,134.1896609887627,1270.0002307692307,1840.6570787470434,21.247692307692304,11.589392583958672,4.1207692307692305,5.444605010552211,91.72076923076922,133.5341935201234,12.081846153842308,19.464358156945494,62.70662,120.5356939076303
B7C2A3,Ba7 Ca2 Al6 O18,train_val,4654.6,99.129,3.0355945318545268,579.3,15646.0,0.8333333333333334,-1010.7213333333333,543.6702909570591,-1213.8280000000002,268.96146325036574,-817.2188888888888,248.0433996521328,-874.6110666666667,98.54591480554757,396.60911111111113,26.30639605978598,339.2169333333334,171.150896415142,-57.392177777777746,149.60114007635826,0.7049034205872183,0.11290974306425755,1.1926666666666668,0.34258753950227416,4.971289617705014,4.5082558832900395,0.9773333333333334,0.3783422906428634,3.226666666666667,0.7784314713290794,204533.33333333334,165161.2814460123,2.0,0.4,0.0,0.0,0.8333333333333334,0.16666666666666669,0.0,0.0,2.4,-0.102545,-0.102545,0.0,2.4879999998999995,-1.1458093280187975,-2.0870722948047025,-0.17469577777777776,-0.43070494444444446,2351.133333333333,489.8310483037523,988.7213333333333,75.07299431220255,37.14666666666667,40.91912396279218,13.673333333333336,12.986939140355364,4.533333333333333,1.8109146210426053,6.4,6.931386415938648,34.0,26.622359023948274,34.333333333333336,40.6165715238613,226.86666666666667,2.5667557916789914,2924.6666666666665,845.4401916440091,25.301333333333332,16.81588394766021,8.745333333333333,2.145509332097544,203.2,94.51330438558558,24.677777777773336,19.646475178211716,129.06666666666666,134.38788241942228,1117.8424242424244,1465.6328063089318,479.309696969697,592.33606691501,,,,,3.1515151515151514,2.003694811943247,11.636363636363637,7.620627565826939,19.818181818181817,24.159786138792484,63.06060606060606,42.87231627704036,109.66666666666667,135.80379817086538,1330.173393939394,1931.1733039752776,20.96969696969697,12.261539426696226,4.095151515151516,5.5737701697617075,94.22363636363637,141.05485476145492,11.654626262624245,19.963007775409633,58.681164848484855,121.01301748571136
